DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
17001	Seattle Public Schools	4068	Boyer Clinic	1
25155	Naselle-Grays River Valley School District	2541	Rosburg Intermediate	0
04127	Entiat School District	2688	Paul Rumburg Elementary	0
04129	Lake Chelan School District	2689	Morgen Owings Elementary School	0
39208	West Valley School District (Yakima)	3207	Summitview Elementary	0
31015	Edmonds School District	3608	Oak Heights Elementary	0
29801	Northwest Educational Service District 189	3420	Whatcom Co Detention Ctr	0
23311	Mary M Knight School District	5445	Washington Connections Academy	0
13144	Quincy School District	3020	Mountain View Elementary	0
17001	Seattle Public Schools	2667	View Ridge Elementary School	0
33049	Wellpinit School District	1911	Wellpinit-Fort Simcoe High School	0
17403	Renton School District	2212	Black River High School	1
32081	Spokane School District	3652	Hillyard Preschool (cape)	0
18401	Central Kitsap School District	4527	Pinecrest Elementary	0
39203	Highland School District	3072	Marcus Whitman-Cowiche Elementary	0
05121	Port Angeles School District	4087	Roosevelt Middle School	0
21214	Morton School District	2742	Mineral Elementary School	0
26059	Cusick School District	2423	Cusick Jr Sr High School	0
27404	Eatonville School District	2361	Weyerhaeuser Elementary	0
31332	Granite Falls School District	2580	Granite Falls High School	0
31025	Marysville School District	5214	School for the Entrepreneur	0
17417	Northshore School District	3811	Secondary Academy for Success	0
34111	Olympia School District	5078	Olympia Regional Learning Academy	0
17001	Seattle Public Schools	2183	Lawton Elementary School	0
39202	Toppenish School District	4588	Valley View Elementary	0
18100	Bremerton School District	1737	Renaissance Alternative High School	0
17406	Tukwila School District	5284	Gateway	1
32363	West Valley School District (Spokane)	5356	re-engagement 	0
39090	East Valley School District (Yakima)	5083	Children's Village	0
17411	Issaquah School District	3386	Sunny Hills Elementary	0
11001	Pasco School District	2267	Mcloughlin Middle School	0
17001	Seattle Public Schools	2199	Concord International School	1
17001	Seattle Public Schools	3974	Thornton Creek Elementary School	0
06037	Vancouver School District	1574	Fir Grove Childrens Center	0
17414	Lake Washington School District	1659	Odyssey Junior High	0
19401	Ellensburg School District	3596	Mt. Stuart Elementary	0
06114	Evergreen School District (Clark)	2724	Evergreen High School	0
17400	Mercer Island School District	2981	Lakeridge Elementary School	0
13161	Moses Lake School District	2970	MLC/Discover Elementary	0
21014	Napavine School District	3288	Napavine Elementary	0
18400	North Kitsap School District	2798	David Wolfle Elementary	0
34003	North Thurston Public Schools	3539	Lakes Elementary School	0
05903	Quileute Tribal School District	5430	Quileute Tribal School	0
36140	Walla Walla School District	1690	Opportunity Program	0
32360	Cheney School District	2814	Sunset Elementary	0
17408	Auburn School District	2932	Dick Scobee Elementary School	1
37501	Bellingham School District	4571	Northern Heights Elementary Schl	0
32354	Mead School District	5268	Riverpoint Academy	0
06037	Vancouver School District	2637	Fruit Valley Elementary School	0
06037	Vancouver School District	2723	Minnehaha Elementary School	0
04246	Wenatchee School District	3210	Pioneer Middle School	0
34002	Yelm School District	4224	Yelm Prairie Elementary	0
27400	Clover Park School District	2937	Greenwood Elementary School	0
31025	Marysville School District	3756	Marysville Pilchuck High School	0
34003	North Thurston Public Schools	3849	North Thurston District Center	0
17409	Tahoma School District	1916	Tahoma Special Services	0
32326	Medical Lake School District	3965	Medical Lake Middle School	0
15201	Oak Harbor School District	2696	Oak Harbor Elementary	0
